gvkey,lpermno,lpermco,liid,linktype,linkprim,linkdt,linkenddt,cik,conm,identity_status,readable_language_filings_in_interval,first_archived_filing,last_archived_filing,cover_name_contexts,explicit_cik_review_count,audit_status
120297,86899,16517.0,1,LC,P,1999-05-12,2018-11-30,1301611,LIFEPOINT HEALTH INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,36,2010-02-19,2018-10-26,36,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
120359,86926,16525.0,1,LC,P,1999-05-12,2014-10-31,1057758,TW TELECOM INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,19,2010-02-12,2014-08-08,19,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
121077,86964,16561.0,1,LU,P,1999-06-04,,1048695,F5 INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-05,2024-11-18,58,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
031392,86993,31507.0,1,LU,P,1999-06-09,2015-03-31,915862,PANTRY INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,21,2010-02-02,2015-01-29,21,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
121382,86996,16584.0,1,LU,P,1999-06-16,,1034054,SBA COMMUNICATIONS CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-01,2024-11-01,55,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
121440,87006,16587.0,1,LU,P,1999-06-17,,1082554,UNITED THERAPEUTICS CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-26,2024-10-30,51,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
122257,87056,16668.0,1,LU,P,1999-07-23,,1048477,BIOMARIN PHARMACEUTICAL INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-26,2024-10-31,41,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
122172,87075,16665.0,1,LC,P,1999-07-23,,1084048,ZIFF DAVIS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-23,2024-11-08,45,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
122255,87078,16666.0,1,LC,P,1999-07-23,2008-10-12,,ALLSCRIPTS HLTHCR SOLTNS-OLD,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,0,,,0,0,NO_READABLE_LANGUAGE_EVIDENCE
181104,87078,16666.0,1,LC,P,2008-10-13,,1124804,VERADIGM INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,51,2010-01-11,2022-11-07,38,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
002328,87146,35233.0,1,LC,P,1999-09-27,2012-04-09,1035675,NSTAR,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,9,2010-02-05,2012-02-06,9,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
124394,87255,17161.0,1,LU,P,1999-09-30,2016-09-30,1088825,TIVO INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,27,2010-03-31,2016-08-29,27,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
125533,87292,36357.0,1,LC,P,1999-11-05,2010-11-16,1089976,PACTIV CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,4,2010-02-26,2010-11-09,4,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
125595,87299,17300.0,1,LC,P,1999-10-29,,1086222,AKAMAI TECHNOLOGIES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-03-01,2024-11-08,54,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
128978,87541,23511.0,1,LC,P,2000-01-28,,75677,PACKAGING CORP OF AMERICA,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED,60,2010-02-17,2024-11-07,54,0,EVIDENCE_AVAILABLE_NOT_VERIFIED
