cell,seed,n_features,threshold,minutes,best_iteration,val_roc_auc,val_pr_auc,val_accuracy,val_mcc,val_precision,val_recall,val_f1,test_roc_auc,test_pr_auc,test_accuracy,test_mcc,test_precision,test_recall,test_f1
I+II-xs,45,44,0.160408487344927,0.18,263,0.6448804729203412,0.220819884575755,0.696025638798659,0.1630079112233514,0.2184433894403682,0.4920922997148042,0.3025725843413108,0.6458756396432614,0.203071927218904,0.64623593699775,0.1351089050517856,0.1943474231948107,0.5262497587338352,0.2838625715773035
I+II-xs,46,44,0.1564025244945317,0.15,264,0.6414939417777981,0.2194738682876364,0.6764925567579774,0.1606868048453973,0.2121372031662269,0.5211304122374902,0.3015301530153015,0.6447521468283012,0.2030599179001773,0.6273545483767278,0.1366883451668556,0.1915552684324736,0.5580003860258638,0.2852034084322938
IV,42,10,0.3055365735471846,0.12,34,0.4846864482316321,0.1271005343198551,0.3917038684013966,0.0179343472513096,0.1384209968748344,0.6775343531241897,0.2298777269528501,0.5763562902378515,0.1571235434839361,0.4109289617486338,0.0929966861464946,0.1558027999456321,0.7743678826481374,0.2594119263533938
IV,43,10,0.3007370222571701,0.26,55,0.4812270934426456,0.1257434122470326,0.384208514999392,0.0192625774015819,0.1386359194840727,0.6897199896292455,0.2308668626536346,0.5758418711056073,0.1573443553245283,0.4064223722275795,0.092773933421351,0.155453976807968,0.779482725342598,0.2592126060061457
IV,44,10,0.3021850584940767,0.26,46,0.4857222245393154,0.1271135239668912,0.3945265681182581,0.0244586975813862,0.1400437636761488,0.6844697951775992,0.2325146147325311,0.5769606604955038,0.1590103275349953,0.4141819350691096,0.0930011296705895,0.1560215768283626,0.7704111175448755,0.2594916135743076
IV,45,10,0.3010855598194543,0.25,52,0.4829629275300238,0.1261663728186527,0.3857371154614463,0.0191617640869652,0.1386336605194024,0.6875162043038631,0.2307399471388638,0.573801146698323,0.1569418918449539,0.4045644487303118,0.0926649322936317,0.1553073161376929,0.7815576143601621,0.2591229782264386
IV,46,10,0.3023233071816805,0.25,48,0.4839233287162795,0.1264867776695197,0.3913912001250673,0.0192207570334266,0.1387280179822821,0.6800622245268343,0.2304465285861758,0.5775806126828796,0.1578036520236319,0.4137126325940212,0.0991598195495268,0.1573558155138714,0.780833815865663,0.2619273071600262
I+II+IV,42,48,0.4494934120836565,0.59,260,0.621626350393325,0.2030308272500156,0.7154892390001564,0.1346748138031022,0.2112629123625458,0.4109411459683692,0.2790615784145429,0.6425068101887155,0.204097007463898,0.6808807457409193,0.1372655961130958,0.2024409821557206,0.4746187994595638,0.2838221927255414
I+II+IV,43,48,0.4775473719396719,0.76,466,0.6221955282322884,0.2031197492194804,0.7434469940419323,0.1292193207084995,0.2176105663398038,0.3524112004148302,0.2690718333209611,0.651341586648243,0.2116162434633642,0.7236129861780778,0.1427720792278784,0.2166776935212988,0.4108762787106736,0.2837292992569391
I+II+IV,44,48,0.4298286052551557,0.58,257,0.6191106776413331,0.2016156330316111,0.6726884260626379,0.1274776470874192,0.1973841635849467,0.470508166969147,0.2781012949199295,0.6429739978714778,0.2055602376542806,0.6377306332369013,0.1349528038137873,0.192727649078019,0.5391333719359197,0.2839498329034143
I+II+IV,45,48,0.4430747964878545,0.57,242,0.6255844925393831,0.2052322053809681,0.7132571349163612,0.1394128731962416,0.2128840565514088,0.4226082447498056,0.2831397242427532,0.6437546268539336,0.2042256085603884,0.67926068788171,0.1378321226847897,0.2023107228153259,0.4782377919320594,0.2843372111370906
I+II+IV,46,48,0.4591123844349266,0.75,368,0.6210740766449304,0.2016598478303087,0.7221768660216435,0.1309785971132156,0.211437931274831,0.3932460461498574,0.2750101989936993,0.6466566075500464,0.2078947587206263,0.6920604307296689,0.1395470877988959,0.2061418685121107,0.4599498166377147,0.2846902813452004
I+II+IV-l,42,48,0.3908580036266991,0.39,167,0.6250960472692562,0.20275737212299094,0.6817644913060849,0.13722384495124296,0.20360486237250244,0.47225823178636245,0.28453712924452773,0.6453944311584676,0.2055774512228146,0.634207650273224,0.13750273790023299,0.19306283833087273,0.5489770314611079,0.28566406789449234
I+II+IV-l,43,48,0.4204579232496063,0.33,130,0.6254200748413593,0.20121052926605726,0.7259462557973909,0.13798188841151846,0.21613153077031405,0.39791288566243194,0.28011498448622013,0.6409333414637952,0.2019429249612235,0.6829765348762455,0.1299766634203287,0.19973953410212783,0.45883999227948274,0.27832169878971474
I+II+IV-l,44,48,0.4113756184130408,0.34,130,0.6257014004730909,0.20239244776590526,0.7163664472198579,0.13980045981593145,0.2140035191394708,0.41781177080632614,0.2830358515005818,0.6411393247827972,0.20203035080720289,0.6688010286081646,0.13077869108260518,0.19702872884691067,0.48315962169465354,0.2799116627529912
I+II+IV-l,45,48,0.41660985995295857,0.36,151,0.6262486538287972,0.20362293429815886,0.7201532074554013,0.140149176173117,0.21534393328135065,0.4117189525537983,0.28278241513633834,0.6430579920528536,0.20320580046666065,0.6775634844101575,0.13217178945140973,0.1994935571484,0.471385832850801,0.2803437934943251
I+II+IV-l,46,48,0.38475064958716715,0.45,215,0.6261491667812285,0.2030624115098891,0.6682936997342319,0.13462240861440475,0.19949308269088606,0.48975887995851697,0.28350592826054327,0.6467443429621256,0.20692321101328945,0.6241787206685953,0.1392126880081777,0.19193403543146378,0.567216753522486,0.2868157474167063
