n,base_rate,roc_auc,pr_auc,mcc,precision,recall,f1,accuracy,flag_rate,ablation,seed,year,threshold
53162,0.12627440653098077,0.5217573618694644,0.13305580666625855,-0.008379540733741846,0.09848484848484848,0.007746164159094295,0.01436265709156194,0.8657499717843572,0.009931906248824349,fund_pure_only,45,2023,0.5595126995354591
46812,0.11779031017687773,0.5576444208608036,0.13729985484345758,0.038843312676483485,0.3155080213903743,0.010700036271309395,0.02069812313629188,0.8807357087926173,0.00399470221310775,fund_pure_only,45,2024,0.5595126995354591
51187,0.14722488131752204,0.5263496877568901,0.162305223652172,-0.005250790371741849,0.12596401028277635,0.006502123142250531,0.012365930599369085,0.8470900814659972,0.007599585832340243,fund_pure_only,46,2022,0.5355834139190789
53162,0.12627440653098077,0.5219755268859211,0.1311430199284615,-0.01250347905315856,0.057291666666666664,0.0016386116490391778,0.0031860970311368576,0.8705278206237538,0.003611602272299763,fund_pure_only,46,2023,0.5355834139190789
46812,0.11779031017687773,0.5612909991697947,0.1382557619632182,0.04662912826293805,0.45652173913043476,0.007616974972796518,0.014983945772386728,0.8820387934717594,0.0019653080406733317,fund_pure_only,46,2024,0.5355834139190789
51187,0.14722488131752204,0.5255222953161443,0.16691935294966095,0.04835003475757313,0.4484848484848485,0.009819532908704883,0.019218283339825996,0.8524430031062574,0.0032234747103756815,fund_xs_only,42,2022,0.5804746180075068
53162,0.12627440653098077,0.5156816009378109,0.1344110938565368,0.015480857431593425,0.19407894736842105,0.008788917026664681,0.016816303263502922,0.8702268537677288,0.005718370264474625,fund_xs_only,42,2023,0.5804746180075068
46812,0.11779031017687773,0.5294961901248273,0.12335814832555889,-0.009995090032340009,0.0,0.0,0.0,0.8814620182859096,0.0007476715372126805,fund_xs_only,42,2024,0.5804746180075068
51187,0.14722488131752204,0.5366933472411772,0.16435797522289328,0.019090686734507083,0.14980200899348978,0.8885350318471338,0.256379821958457,0.24115498075683278,0.8732490671459551,fund_xs_only,43,2022,0.4564963625346538
53162,0.12627440653098077,0.5244403042592277,0.1355610746948398,0.03576510760707995,0.13091263819640148,0.8995977953225086,0.22856385897848344,0.233192882133855,0.8677250667770212,fund_xs_only,43,2023,0.4564963625346538
46812,0.11779031017687773,0.5311670039534832,0.12155506166264286,0.049174457893485644,0.12364077669902912,0.9238302502720348,0.2180930770218778,0.21972998376484662,0.8801162095189268,fund_xs_only,43,2024,0.4564963625346538
51187,0.14722488131752204,0.52515536096215,0.1621724332340632,0.02129160953706802,0.19174247725682295,0.0363588110403397,0.0611266034578918,0.8355637173501085,0.027917244612889993,fund_xs_only,44,2022,0.5556696639013128
53162,0.12627440653098077,0.5271509524339009,0.13378393009456357,-0.00018495432203935116,0.12577833125778332,0.015045434232086995,0.02687599787120809,0.8624205259395809,0.015104774086753696,fund_xs_only,44,2023,0.5556696639013128
46812,0.11779031017687773,0.5473408303173553,0.13258784997166456,-0.0010440268354404403,0.10975609756097561,0.001632208922742111,0.0032165832737669764,0.8808425190122191,0.0017516876014697087,fund_xs_only,44,2024,0.5556696639013128
51187,0.14722488131752204,0.5268104483176027,0.15969529170076135,0.017205719762386464,0.14965801512886714,0.8768577494692145,0.25567808086670535,0.24836384238185477,0.8626018324965323,fund_xs_only,45,2022,0.4766190640503739
53162,0.12627440653098077,0.5165297446391575,0.13308033552359044,0.010704084521363698,0.12777027475811986,0.8596752569640995,0.22247494217424826,0.24122493510402168,0.8496106241300176,fund_xs_only,45,2023,0.4766190640503739
46812,0.11779031017687773,0.5236779947363829,0.12130716939702572,0.04437709204658568,0.12403968455863648,0.8842945230322815,0.21756202034624308,0.2507903956250534,0.839741946509442,fund_xs_only,45,2024,0.4766190640503739
51187,0.14722488131752204,0.52046442301879,0.15870509854872902,0.02698672507315084,0.15128938506250866,0.870355626326964,0.2577716643741403,0.26207826205872586,0.8469728642038018,fund_xs_only,46,2022,0.47328867182085743
