cell,seed,n_features,threshold,minutes,best_iteration,val_roc_auc,val_pr_auc,val_accuracy,val_mcc,val_precision,val_recall,val_f1,test_roc_auc,test_pr_auc,test_accuracy,test_mcc,test_precision,test_recall,test_f1
III,42,9,0.22714664430721948,0.09,164,0.6460399496106768,0.25880283627889134,0.8436571766054648,0.2530284680440248,0.3901460165656221,0.296149857402126,0.3367110063008954,0.529732303385029,0.14169467616758663,0.8113018322082931,0.007778916808040665,0.14234786934173438,0.08285080100366725,0.10473982797535533
III,43,9,0.19679439710733485,0.09,195,0.6740375504831264,0.3331993402753533,0.8526290190901353,0.3054499823201039,0.43670886075949367,0.3443738656987296,0.3850837138508371,0.5340752196144475,0.14416914728428376,0.7317261330761813,0.025428677840854137,0.15087754287993618,0.21902142443543718,0.17867264997638166
III,44,9,0.21849387039408635,0.09,139,0.6619629551444588,0.2778593237340776,0.859907241744689,0.2830931866273296,0.4617396991497711,0.2745657246564688,0.3443622469717909,0.5303177223327066,0.14259177949192386,0.791321118611379,0.017114149492969778,0.14996420901932714,0.12130862767805443,0.13412291933418694
III,45,9,0.2206323262939485,0.1,156,0.6498005097593496,0.2872966167965233,0.8666035539960742,0.28491202359180917,0.5046703668607012,0.24163857920663728,0.3268025421871576,0.5375467556670074,0.14643899839113342,0.7740597878495661,0.01911188211504582,0.14985674743844996,0.14890947693495465,0.1493816104751071
III,46,9,0.2661603425869276,0.11,188,0.6751275090684947,0.33223399373496415,0.8769389775747364,0.32793786329222524,0.6010271224522549,0.24274047186932848,0.34581467288425133,0.5357428887240807,0.147287694391,0.8170363227258116,0.030155231622171402,0.16917550461854258,0.09544489480795214,0.12203849950641658
I+II,42,38,0.25903323893999086,0.12,179,0.6441573868600585,0.21477513484327115,0.6910490020670847,0.16377686688118626,0.2173327346205658,0.5019445164635727,0.3033294163728946,0.6369493103098193,0.19898176058162367,0.6316039858566377,0.1295917000065752,0.18962123269074124,0.5391816251688863,0.28057048159493797
I+II,43,38,0.2575944818730737,0.12,225,0.6398065626380803,0.21429255863783278,0.6773350240580868,0.1596562532306201,0.21193475666357248,0.5179543686803215,0.3007923512694559,0.6400361883643131,0.20042897329615839,0.6223593699774992,0.1321441704710102,0.18903975134958287,0.5576143601621308,0.2823563906467613
I+II,44,38,0.25822798921960255,0.12,257,0.6397845744492058,0.2140060899931288,0.6804269659017874,0.1591076412480597,0.21250773660558112,0.5118615504277936,0.3003289661336021,0.6406972187530258,0.2004040402734294,0.6243522982963677,0.13084950661033165,0.18888815550641894,0.5523547577687705,0.28150898851535794
I+II,45,38,0.26210876730149224,0.11,239,0.6410607981840623,0.2146112700538222,0.6983793361010266,0.16219778346033834,0.21879006877258422,0.4866476536168006,0.3018655516243165,0.6397036083978482,0.19962664373958075,0.6456316297010608,0.13055310484627736,0.19244662208075533,0.5193012931866435,0.28082352634188346
I+II,46,38,0.2570520560259006,0.12,213,0.641564457720753,0.21413513554042973,0.6827198665948687,0.16258209149629382,0.21453886318751184,0.5140005185377237,0.30272375026244963,0.637463406086064,0.19827151740931537,0.6223015107682417,0.12927278638399,0.18797078854517107,0.5526925303995368,0.28053245814913236
