strategy,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,calmar,n_days,cost_bps,avg_turnover,exposure,exclude_pct,rebalance_days,period
I+II_seed42,-0.08462508046664263,-0.08494748928729579,0.23544993797129604,-0.2596545548763074,-0.4028524195681929,-0.21668306199747991,-0.39203566953601454,251,25,0.18565369241948085,0.9203187250996016,20.0,20,2022
I+II_seed43,-0.08384083885710647,-0.08416039918846485,0.2346200112732096,-0.25772257657652003,-0.40026464289324515,-0.21472031941344596,-0.3919535860339944,251,25,0.17851827636431472,0.9203187250996016,20.0,20,2022
I+II_seed44,-0.08675553292309768,-0.0870856663142886,0.23425150517035861,-0.2721241806643762,-0.42038682521009124,-0.22116061476708482,-0.39376661349039394,251,25,0.175250091480477,0.9203187250996016,20.0,20,2022
I+II_seed45,-0.08410565778123269,-0.08442618027700366,0.23545184557558796,-0.2572148409922822,-0.3972639696845036,-0.21865928441294816,-0.3861083717696657,251,25,0.17797501115376937,0.9203187250996016,20.0,20,2022
I+II_seed46,-0.087935360827324,-0.08826976347827165,0.2366664291271964,-0.2724487897534726,-0.4211873208353552,-0.21846387898602324,-0.4040474054015992,251,25,0.1879570232546308,0.9203187250996016,20.0,20,2022
I+II+IV_seed42,-0.05820988299225316,-0.05843488329515267,0.2345391179618746,-0.13985628248002843,-0.21947383137236892,-0.19784710959034763,-0.2953537376216667,251,25,0.18406186689313386,0.9203187250996016,20.0,20,2022
I+II+IV_seed43,-0.07548903256045547,-0.0757780917581482,0.23972897397278828,-0.20925261123869235,-0.33162893181355096,-0.20953238067328003,-0.3616533707804694,251,25,0.19591145456241352,0.9203187250996016,20.0,20,2022
I+II+IV_seed44,-0.08380683391677968,-0.08412627067609235,0.23882583685948414,-0.24887742155111156,-0.38921136861753747,-0.2158010748406098,-0.38983249151204563,251,25,0.19118095996122922,0.9203187250996016,20.0,20,2022
I+II+IV_seed45,-0.07131004488170323,-0.07158372883034714,0.2351500362411622,-0.19868483771575668,-0.3128168976891359,-0.2089331863425047,-0.3426154077457075,251,25,0.1784012107057923,0.9203187250996016,20.0,20,2022
I+II+IV_seed46,-0.06658049331428373,-0.066836685698492,0.23001862705282725,-0.186101121827756,-0.28945736195079286,-0.2095897149077441,-0.31889296537242656,251,25,0.17608556017360744,0.9203187250996016,20.0,20,2022
naive_vol,-0.15176199341311314,-0.1523180457328306,0.2231503415856764,-0.6291701156093468,-1.043702635424633,-0.22652264895521776,-0.6724186143653256,251,25,0.12789290862449568,1.0,20.0,20,2022
oracle,0.07499025053875052,0.07529999338797433,0.23990733827395735,0.42199926659739606,0.7208868187886076,-0.1491520309194539,0.5048539595725542,251,25,0.17898730040019847,1.0,20.0,20,2022
buy_hold,-0.12955103684156177,-0.13003206500752984,0.23624555280592896,-0.47179284739443045,-0.7803402363102943,-0.21473947619063874,-0.6055340513734493,251,50,0.038461538461538464,1.0,20.0,20,2022
I_seed42,-0.10036969883474356,-0.10074872309354077,0.23821064842798143,-0.3270237215999762,-0.5085939021472102,-0.22505767581250263,-0.44765735152030695,251,50,0.18705382476449894,0.9203187250996016,20.0,20,2022
