date,permno,ticker,prc,cfacpr,ret,retx,raw_close,adjusted_close,raw_price_return,adjusted_price_return,factor_changed,return_difference
2020-12-16,29938,BF,79.83,1.0,-0.020971,-0.020971,79.83,79.83,-0.020971302428256178,-0.020971302428256178,False,0.0
2020-12-17,29938,BF,76.73,1.0,-0.038833,-0.038833,76.73,76.73,-0.03883251910309404,-0.03883251910309404,False,0.0
2020-12-18,29938,BF,74.04,1.0,-0.035058,-0.035058,74.04,74.04,-0.0350579955688779,-0.0350579955688779,False,0.0
2020-12-21,29938,BF,73.91,1.0,-0.001756,-0.001756,73.91,73.91,-0.0017558076715290527,-0.0017558076715290527,False,0.0
2020-12-22,29938,BF,72.62,1.0,-0.017454,-0.017454,72.62,72.62,-0.017453659856582204,-0.017453659856582204,False,0.0
2020-12-23,29938,BF,72.66,1.0,0.000551,0.000551,72.66,72.66,0.0005508124483613042,0.0005508124483613042,False,0.0
2020-12-24,29938,BF,73.0,1.0,0.004679,0.004679,73.0,73.0,0.0046793283787502915,0.0046793283787502915,False,0.0
2020-12-28,29938,BF,72.61,1.0,-0.005342,-0.005342,72.61,72.61,-0.0053424657534246744,-0.0053424657534246744,False,0.0
2020-12-29,29938,BF,73.31,1.0,0.009641,0.009641,73.31,73.31,0.009640545379424381,0.009640545379424381,False,0.0
2020-12-30,29938,BF,73.06,1.0,-0.00341,-0.00341,73.06,73.06,-0.0034101759650797536,-0.0034101759650797536,False,0.0
2020-12-31,29938,BF,73.47,1.0,0.005612,0.005612,73.47,73.47,0.005611825896523426,0.005611825896523426,False,0.0
2021-01-04,29938,BF,72.64,1.0,-0.011297,-0.011297,72.64,72.64,-0.011297128079488239,-0.011297128079488239,False,0.0
2021-01-05,29938,BF,73.17,1.0,0.007296,0.007296,73.17,73.17,0.0072962555066078405,0.0072962555066078405,False,0.0
2021-01-06,29938,BF,72.89,1.0,-0.003827,-0.003827,72.89,72.89,-0.003826704933716063,-0.003826704933716063,False,0.0
2021-01-07,29938,BF,72.88,1.0,-0.000137,-0.000137,72.88,72.88,-0.00013719303059411825,-0.00013719303059411825,False,0.0
2021-01-08,29938,BF,73.59,1.0,0.009742,0.009742,73.59,73.59,0.009742041712404115,0.009742041712404115,False,0.0
2021-01-11,29938,BF,72.26,1.0,-0.018073,-0.018073,72.26,72.26,-0.01807310775920634,-0.01807310775920634,False,0.0
2021-01-12,29938,BF,71.25,1.0,-0.013977,-0.013977,71.25,71.25,-0.01397730417935239,-0.01397730417935239,False,0.0
2021-01-13,29938,BF,70.73,1.0,-0.007298,-0.007298,70.73,70.73,-0.007298245614035026,-0.007298245614035026,False,0.0
2021-01-14,29938,BF,69.12,1.0,-0.022763,-0.022763,69.12,69.12,-0.02276261840803051,-0.02276261840803051,False,0.0
2021-01-15,29938,BF,69.57,1.0,0.00651,0.00651,69.57,69.57,0.006510416666666519,0.006510416666666519,False,0.0
2021-01-19,29938,BF,69.24,1.0,-0.004743,-0.004743,69.24,69.24,-0.004743423889607579,-0.004743423889607579,False,0.0
2021-01-20,29938,BF,68.63,1.0,-0.00881,-0.00881,68.63,68.63,-0.008809936452917388,-0.008809936452917388,False,0.0
2021-01-21,29938,BF,68.01,1.0,-0.009034,-0.009034,68.01,68.01,-0.00903395016756503,-0.00903395016756503,False,0.0
2021-01-22,29938,BF,67.96,1.0,-0.000735,-0.000735,67.96,67.96,-0.0007351860020586853,-0.0007351860020586853,False,0.0
2021-01-25,29938,BF,66.05,1.0,-0.028105,-0.028105,66.05,66.05,-0.02810476751030011,-0.02810476751030011,False,0.0
2021-01-26,29938,BF,67.6,1.0,0.023467,0.023467,67.6,67.6,0.02346707040121121,0.02346707040121121,False,0.0
2021-01-27,29938,BF,67.57,1.0,-0.000444,-0.000444,67.57,67.57,-0.00044378698224856183,-0.00044378698224856183,False,0.0
2021-01-28,29938,BF,68.28,1.0,0.010508,0.010508,68.28,68.28,0.010507621725617922,0.010507621725617922,False,0.0
2021-01-29,29938,BF,66.12,1.0,-0.031634,-0.031634,66.12,66.12,-0.03163444639718804,-0.03163444639718804,False,0.0
2021-02-01,29938,BF,66.98,1.0,0.013007,0.013007,66.98,66.98,0.013006654567453202,0.013006654567453202,False,0.0
2021-02-02,29938,BF,68.1,1.0,0.016721,0.016721,68.1,68.1,0.016721409375932916,0.016721409375932916,False,0.0
2021-02-03,29938,BF,68.21,1.0,0.001615,0.001615,68.21,68.21,0.0016152716593245131,0.0016152716593245131,False,0.0
2021-02-04,29938,BF,68.41,1.0,0.002932,0.002932,68.41,68.41,0.0029321213898256815,0.0029321213898256815,False,0.0
2021-02-05,29938,BF,69.26,1.0,0.012425,0.012425,69.26,69.26,0.012425084052039237,0.012425084052039237,False,0.0
