date,close,ticker,permno,prc,cfacpr,ret,retx,raw_close,adjusted_close,raw_price_return,adjusted_price_return,factor_changed,return_difference,_merge
2013-07-02,34.2,OGE,24440,34.2,1.0,0.004996,0.004996,34.2,34.2,-0.49750220393770195,0.004995592124596104,True,-0.502497796062298,both
2011-06-13,35.91,OII,58975,35.91,1.0,-0.034418,-0.034418,35.91,35.91,-0.5172089271309492,-0.03441785426189836,True,-0.4827910728690509,both
2012-06-04,39.49,OKE,25232,39.49,1.145157,-0.010276,-0.010276,39.49,34.48435454701845,-0.5051378446115288,-0.01027568922305755,True,-0.4948621553884712,both
2014-02-03,57.92,OKE,25232,57.92,1.0,-0.031574,-0.031574,57.92,57.92,-0.1543290991385603,-0.03157404818221632,True,-0.12275505095634398,both
2011-07-05,32.63,PLCM,83405,32.63,1.0,0.008655,0.008655,32.63,32.63,-0.4956723338485317,0.00865533230293658,True,-0.5043276661514683,both
2018-05-01,44.82,PNR,13586,44.82,1.0,0.003864,0.003864,44.82,44.82,-0.3338287752675386,0.003864743460166631,True,-0.33769351872770526,both
2012-02-06,75.63,RAH,84584,75.63,1.0,-0.002966,-0.002966,75.63,75.63,-0.15345869711215587,-0.0029665100738752725,True,-0.1504921870382806,both
2010-12-13,20.91,RES,66683,20.91,1.5,-0.008378,-0.008378,20.91,13.94,-0.33891874802402777,-0.008378122036041824,True,-0.33054062598798595,both
2012-03-12,10.17,RES,66683,10.17,1.0,-0.028962,-0.028962,10.17,10.17,-0.35264162953532785,-0.028962444302991885,True,-0.32367918523233596,both
2014-08-28,48.26,RKT,80361,48.26,1.0,0.005521,0.005521,48.26,48.26,-0.49723929575997494,0.005521408480050116,True,-0.5027607042400251,both
2010-08-31,30.14,RMD,81736,30.14,1.0,-0.001656,-0.001656,30.14,30.14,-0.5008280887711163,-0.001656177542232573,True,-0.4991719112288837,both
2024-11-26,21.34,SEM,93035,21.34,1.0,0.032893,0.032893,21.34,21.34,-0.44857881136950906,0.03289294521963826,True,-0.4814717565891473,both
2024-10-02,102.84,SFY,18537,102.84,1.0,0.002583,0.002583,102.84,102.84,4.0129173775286375,0.0025834755057274617,True,4.01033390202291,both
2016-06-13,4.77,SGY,79444,4.77,0.176225,-0.089521,-0.089521,4.77,27.06766917293233,8.104790990647068,-0.08949506807675811,True,8.194286058723826,both
2017-03-01,26.01,SGY,79444,26.01,1.0,-0.340487,-0.340487,26.01,26.01,2.742446043165468,-0.3404874460431654,True,3.0829334892086333,both
2024-09-10,27.38,SIRI,80924,27.38,1.0,0.025468,0.025468,27.38,27.38,9.254681647940075,0.025468164794007375,True,9.229213483146067,both
2022-11-30,8.03,STAR,75846,8.03,0.250591,0.039369,0.039369,8.03,32.04424739914841,-0.188888888888889,0.039369729958378175,True,-0.22825861884726717,both
2012-01-18,37.07,SUN,14656,37.07,1.0,0.037385,0.037385,37.07,37.07,-0.12384779012053893,0.03738524415031885,True,-0.16123303427085778,both
2017-08-02,24.83,SVU,44951,24.83,1.0,-0.003612,-0.003612,24.83,24.83,5.974719101123595,-0.0036125533707864754,True,5.978331654494381,both
2012-01-25,28.26,TDS,63773,28.26,1.0,0.048417,0.048417,28.26,28.26,-0.03549488054607508,0.04841706484641639,True,-0.08391194539249147,both
2017-08-01,25.0,TDW,50606,25.0,1.0,-0.029991,-0.029991,25.0,25.0,25.881720430107524,-0.030000000000000138,True,25.911720430107525,both
