gvkey,lpermno,lpermco,liid,linktype,linkprim,linkdt,linkenddt,cik,conm,identity_status
023945,76625,10902.0,1,LC,P,1991-04-25,2011-10-31,873364.0,CEPHALON INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
024197,76709,10989.0,1,LU,P,1991-06-21,,874716.0,IDEXX LABS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
024409,76792,11088.0,1,LC,P,1991-08-14,2010-07-29,768262.0,SYBASE INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
024021,76837,2075.0,1,LU,P,1991-05-10,,313143.0,HAEMONETICS CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
024463,76839,11111.0,1,LU,P,1991-09-16,,69891.0,NATIONAL BEVERAGE CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
024782,77182,11257.0,1,LU,P,1991-12-17,,1585364.0,PERRIGO CO PLC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
024843,77264,11286.0,1,LU,P,1992-01-17,,881464.0,AMYLIN PHARMACEUTICALS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
024893,77281,11310.0,1,LC,P,1992-01-23,2017-08-25,865436.0,WHOLE FOODS MARKET INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
020185,77300,11324.0,1,LU,P,1992-01-31,,825542.0,SCOTTS MIRACLE-GRO CO,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
024925,77338,11344.0,1,LU,P,1992-02-13,,882835.0,ROPER TECHNOLOGIES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
009466,77354,11358.0,1,LU,C,1992-02-25,,866729.0,SCHOLASTIC CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
024975,77357,11361.0,1,LU,P,1992-02-26,,883241.0,SYNOPSYS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
025062,77421,11416.0,1,LU,P,1992-03-19,2012-08-31,882235.0,LINCARE HOLDINGS INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
025119,77496,11446.0,1,LU,P,1992-04-01,,851968.0,MOHAWK INDUSTRIES INC,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
025180,77520,11473.0,1,LU,P,1992-04-16,,880266.0,AGCO CORP,CURRENT_COMPANY_CIK_CANDIDATE_NOT_HISTORICALLY_VERIFIED
