table_schema,table_name,column_name,data_type
ciqsamp_pplintel,wrds_cik_trial,cik,character varying
ciqsamp_pplintel,wrds_cik_trial,startdate,date
ciqsamp_pplintel,wrds_cik_trial,enddate,date
ciqsamp_pplintel,wrds_cik_trial,companyname,character varying
comp,bank_funda,cik,character varying
comp,bank_fundq,cik,character varying
comp,bank_names,cik,character varying
comp,bank_namesq,cik,character varying
comp,chars,cik,character varying
comp,company,cik,character varying
comp,filings,cik,double precision
comp,funda,cik,character varying
comp,fundq,cik,character varying
comp,g_company,cik,character varying
comp,names,cik,character varying
comp,names_aco_indsta,cik,character varying
comp,names_aco_indstq,cik,character varying
comp,names_aco_pnfnda,cik,character varying
comp,names_aco_pnfndq,cik,character varying
comp,names_adsprate,cik,character varying
comp,names_seg,cik,character varying
comp,namesd,cik,character varying
comp,namesm,cik,character varying
comp,namesq,cik,character varying
comp,secd,cik,character varying
comp,secm,cik,character varying
comp_bank_daily,bank_funda,cik,character varying
comp_bank_daily,bank_fundq,cik,character varying
comp_bank_daily,bank_names,cik,character varying
comp_bank_daily,bank_namesq,cik,character varying
comp_bank_daily,chars,cik,character varying
comp_bank_daily_old,bank_funda,cik,character varying
comp_bank_daily_old,bank_fundq,cik,character varying
comp_bank_daily_old,bank_names,cik,character varying
comp_bank_daily_old,bank_namesq,cik,character varying
comp_bank_daily_old,chars,cik,character varying
comp_filings,filings,cik,double precision
comp_global_daily,g_company,cik,character varying
comp_global_daily_old,g_company,cik,character varying
comp_na_daily_all,chars,cik,character varying
comp_na_daily_all,company,cik,character varying
comp_na_daily_all,funda,cik,character varying
comp_na_daily_all,fundq,cik,character varying
comp_na_daily_all,names,cik,character varying
comp_na_daily_all,names_aco_indsta,cik,character varying
comp_na_daily_all,names_aco_indstq,cik,character varying
comp_na_daily_all,names_aco_pnfnda,cik,character varying
comp_na_daily_all,names_aco_pnfndq,cik,character varying
comp_na_daily_all,names_adsprate,cik,character varying
comp_na_daily_all,names_seg,cik,character varying
comp_na_daily_all,namesd,cik,character varying
